,title_x,imdb_id,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,genres,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date
0,Uri: The Surgical Strike,tt8291224,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/URI_-_New_poster.jpg/220px-URI_-_New_poster.jpg,https://en.wikipedia.org/wiki/Uri:_The_Surgical_Strike,Uri: The Surgical Strike,Uri: The Surgical Strike,0,2019,138,Action|Drama|War,8.4,35112,Divided over five chapters  the film chronicles the events of the surgical strike conducted by the Indian military against suspected militants in Pakistan occupied Kashmir. It tells the story of the 11 tumultuous events over which the operation was carried out. Indian army special forces carry out a covert operation to avenge the killing of fellow army men at their base by a terrorist group.,Indian army special forces execute a covert operation  avenging the killing of fellow army men at their base by a terrorist group.,,Vicky Kaushal|Paresh Rawal|Mohit Raina|Yami Gautam|Kirti Kulhari|Rajit Kapoor|Ivan Rodrigues|Manasi Parekh|Swaroop Sampat|Riva Arora|Yogesh Soman|Fareed Ahmed|Akashdeep Arora|Kallol Banerjee|,4 wins,11 January 2019 (USA)
2,The Accidental Prime Minister (film),tt6986710,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/The_Accidental_Prime_Minister_film.jpg/220px-The_Accidental_Prime_Minister_film.jpg,https://en.wikipedia.org/wiki/The_Accidental_Prime_Minister_(film),The Accidental Prime Minister,The Accidental Prime Minister,0,2019,112,Biography|Drama,6.1,5549,Based on the memoir by Indian policy analyst Sanjaya Baru  The Accidental Prime Minister explores Manmohan Singh's tenure as the Prime Minister of India  and the interference of Congress Party in contradicting his decisions during his first tenure. He details how Singh fell a victim to Congress Party's dynastic approach. It highlights how Manmohan Singh was constantly ignored by Congress to maintain turf for Rahul Gandhi  the son of Sonia Gandhi and Rajiv Gandhi.,Explores Manmohan Singh's tenure as the Prime Minister of India and the kind of control he had over the cabinet and the country.,,Anupam Kher|Akshaye Khanna|Aahana Kumra|Atul Sharma|Manoj Anand|Arjun Mathur|Suzanne Bernert|Abdul Quadir Amin|Bharat Mistri|Divya Seth|Anil Rastogi|Ramesh Bhatkar|Parrgash Kaur|Jess Kaur|,,11 January 2019 (USA)
8,Manikarnika: The Queen of Jhansi,tt6903440,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Manikarnika_Poster.jpg/220px-Manikarnika_Poster.jpg,https://en.wikipedia.org/wiki/Manikarnika:_The_Queen_of_Jhansi,Manikarnika: The Queen of Jhansi,Manikarnika: The Queen of Jhansi,0,2019,148,Action|Biography|Drama,6.5,7361,Manikarnika born in Varanasi when Dixt a minister in Jhansi princely state sees her he proposes her marriage to Gangadar Rao prince of Jhansi.Sadashiv Rao plots along with British officers to conquer Jhansi as he Is promised a stake in it after conquering Jhansi.After the birth of Lakshmi and Gangadar Rao's son Sadashiv Rao sees his place in fear and poison the holy water during the naming ceremony of the child following which he passes away and also leaves Gangadar Rao on death bed.Gangadar Rao decides to adopt a son and Sadashiv Rao feels guilty of not adopting his son instead a toddler who comes running to Lakshmi Bai.After death of Gangadar Rao.The East India Company decides to conquer on Jhansi as there is no male ruler.But Lakshmi Bai decides to take the throne on herself and fight for Jhansi.,Story of Rani Lakshmibai  one of the leading figures of the Indian Rebellion of 1857 and her resistance to the British Rule.,,Kangana Ranaut|Rimi Sen|Atul Kulkarni|Nalneesh Neel|Danny Denzongpa|Mishti|Kulbhushan Kharbanda|Mohammed Zeeshan Ayyub|Anil George|Vikram Kochhar|Edward Sonnenblick|Ankita Lokhande|Richard Keep|Jishu Sengupta|,,25 January 2019 (USA)
11,Gully Boy,tt2395469,https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Gully_Boy_poster.jpg/220px-Gully_Boy_poster.jpg,https://en.wikipedia.org/wiki/Gully_Boy,Gully Boy,Gully Boy,0,2019,153,Drama|Music,8.2,22440,"Gully Boy is a film about a 22-year-old boy ""Murad"" from a ghetto in Mumbai  India. The son of a driver  his parents worked hard to get him educated so that he could have a white collar job. Meanwhile  Murad realizes his calling to be a rapper. Authentic Hip Hop in India is a recent phenomenon and like anywhere else in the world  is rising from the streets. Art is a distant dream for the colonized poor of India and this story is about Murad's journey from realizing his love for rap and chasing his dream to inadvertently transcending his class. The film showcases street rap from the crevices of Mumbai's by lanes. The poetry is conscious of the city's socio-economic fabric and highlights the challenges faced by the disenfranchised youth in the minority population.",A coming-of-age story based on the lives of street rappers in Mumbai.,Apna Time Aayega!,Ranveer Singh|Alia Bhatt|Siddhant Chaturvedi|Vijay Raaz|Amruta Subhash|Vijay Varma|Kalki Koechlin|Ikhlaque Khan|Sheeba Chaddha|Jyoti Subhash|Rahul Piske|Nakul Sachdeva|Shruti Chauhan|Aishwarya Desai|,6 wins & 3 nominations,14 February 2019 (USA)
13,Total Dhamaal,tt7639372,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Total_Dhamaal_poster.jpg/220px-Total_Dhamaal_poster.jpg,https://en.wikipedia.org/wiki/Total_Dhamaal,Total Dhamaal,Total Dhamaal,0,2019,130,Action|Adventure|Comedy,4.3,4817,Total Dhamaal is the third instalment in the Dhamaal franchise. A hidden booty of 50 crore leads to a mad chase amongst a bunch of greedy and eccentric characters. In them  are a bickering couple on the verge of a divorce  greedy siblings  local goons  a police commissioner and the mastermind of the loot. Will they finally discover the hidden treasure?,A group of people learn about a hidden treasure and then they race to find it and claim it.,The Wildest Adventure Ever,Ajay Devgn|Madhuri Dixit|Anil Kapoor|Riteish Deshmukh|Arshad Warsi|Javed Jaffrey|Esha Gupta|Boman Irani|Sanjay Mishra|Vijay Patkar|Pitobash|Mahesh Manjrekar|Ali|,,22 February 2019 (India)
15,Badla (2019 film),tt8130968,https://upload.wikimedia.org/wikipedia/en/0/0c/Badla_poster.jpg,https://en.wikipedia.org/wiki/Badla_(2019_film),Badla,Badla,0,2019,118,Crime|Drama|Mystery,7.9,15499,Naina Sethi a successful entrepreneur finds herself locked in a hotel room.When she gains conscious she finds herself lying to corpse of her lover Arjun she is arrested for the murder.But left on bail her lawyer Jimmy hires a defense lawyer Badal Gupta who hasn't lost a case since last 40 years.Badal and Naina discuss about the events that happened during that day.But Badal feels that there are lot many loopholes in Naina's story.,A dynamic young entrepreneur finds herself locked in a hotel room with the corpse of her dead lover. She hires a prestigious lawyer to defend her and they work together to figure out what actually happened.,,Amitabh Bachchan|Taapsee Pannu|Amrita Singh|Antonio Aakeel|Tony Luke|Tanveer Ghani|Tariqsafdar Hussain|Mark Mansfield|,1 win,8 March 2019 (India)
22,Kesari (film),tt6264938,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Kesari_poster.jpg/220px-Kesari_poster.jpg,https://en.wikipedia.org/wiki/Kesari_(film),Kesari,Kesari,0,2019,150,Action|Drama|History,7.4,10653,This period war-drama showcases the 1897 Battle of Saragarhi. The plot focuses on Havildar Ishar Singh who led a platoon of 21 Sikhs against an invading army of 10 000 Afghans to defend the North-West Frontier Province. The event is considered as one of the greatest last-stands in history.,Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10 000 Afghans in 1897.,,Akshay Kumar|Parineeti Chopra|Suvinder Vicky|Vansh Bhardwaj|Sumeet Basran|Ajit Singh|Sandeep Nahar|Harwinder Singh Aujla|Rakesh Sharma|Adhrit Sharma|Vivek Saini|Harbhagwan Singh|Rajdeep Singh Dhaliwal|Gurpreet Toti|,,21 March 2019 (USA)
27,The Tashkent Files,tt8108268,https://upload.wikimedia.org/wikipedia/en/7/79/The_Tashkent_Files_poster.jpg,https://en.wikipedia.org/wiki/The_Tashkent_Files,The Tashkent Files,The Tashkent Files,0,2019,134,Drama|Mystery|Thriller,8.0,5524,The Tashkent Files is a thriller that revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death  or  as alleged  was assassinated.,The Tashkent Files is a thriller that revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death  or  as alleged  was assassinated.,,Naseeruddin Shah|Mithun Chakraborty|Shweta Basu Prasad|Pankaj Tripathi|Vinay Pathak|Mandira Bedi|Rajesh Sharma|Prakash Belawadi|Ankur Rathee|,,12 April 2019 (India)
28,Kalank,tt6988116,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Kalank_Poster.jpg/220px-Kalank_Poster.jpg,https://en.wikipedia.org/wiki/Kalank,Kalank,Kalank,0,2019,166,Drama|Romance,3.6,9106,Set in 1945  in Pre-Independent India  the elite  opulent and solemn world of the Chaudhry family  and the wild  mysterious and musical underbelly of the town  Hira Mandi  clash when Roop Chaudhry encounters Zafar  a daredevil from Hira Mandi  unleashing deep-buried truths  secrets of betrayal and affairs that threaten to bring the both worlds crashing down.,The lives of six enigmatic characters become entangled whilst in search of love  but separated by the dichotomy between the two worlds of Husnabad  a town in North India.,,Varun Dhawan|Alia Bhatt|Aditya Roy Kapoor|Madhuri Dixit|Sonakshi Sinha|Sanjay Dutt|Kunal Khemu|Pawan Chopra|,,17 April 2019 (USA)
30,Student of the Year 2,tt7255568,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Student_of_the_year_2_Poster.jpg/220px-Student_of_the_year_2_Poster.jpg,https://en.wikipedia.org/wiki/Student_of_the_Year_2,Student of the Year 2,Student of the Year 2,0,2019,146,Drama|Romance|Sport,2.5,12671,A student must face off against bullies and overcome hurdles  both academic and romantic  to win his college's coveted Student of the Year trophy.,A student must face off against bullies and overcome hurdles  both academic and romantic  to win his college's coveted Student of the Year trophy.,,Tiger Shroff|Ananya Panday|Tara Sutaria|Aditya Seal|Manoj Pahwa|Ayesha Raza|Rajesh Kumar|Manasi Joshi Roy|Samir Soni|Gul Panag|Manjot Singh|Sahil Anand|Harsh Beniwal|Daljeet Singh Gujral|,,10 May 2019 (USA)
31,PM Narendra Modi,tt9558612,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/PM_Narendra_Modi.jpg/220px-PM_Narendra_Modi.jpg,https://en.wikipedia.org/wiki/PM_Narendra_Modi,PM Narendra Modi,PM Narendra Modi,0,2019,136,Biography|Drama,3.3,4484,Biography of India's Prime Minister Shri Narendra Modi.,Biography of India's Prime Minister Shri Narendra Modi.,,Boman Irani|Vivek Oberoi|Barkha Bisht|Darshan Kumaar|Zarina Wahab|Manoj Joshi|Suresh Oberoi|Prashant Narayanan|Yatin Karyekar|Rajendra Gupta|Anjan Srivastav|Imran Hasnee|Jay Bhatt|Akshat R Saluja|,,24 May 2019 (USA)
32,De De Pyaar De,tt8647400,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/De_De_Pyaar_De_Poster.jpg/220px-De_De_Pyaar_De_Poster.jpg,https://en.wikipedia.org/wiki/De_De_Pyaar_De,De De Pyaar De,De De Pyaar De,0,2019,135,Comedy|Romance,6.6,5387,a 50 year old Aashish living London away from his family fro many years He falls in love with a 26 year Ayesha.Thou officially not divorced from his first wife Manju.Aashish wants her permission to get married to Ayesha.Upon reaching his house in India  Ayesha finds that Aashish kids are of the same age as her.Aashish introduces Ayesha as his secretary to his family he also finds that his daughter is about to get married and VK whose become close family friend is trying to woo her Manju.,A 50-year-old single father faces disapproval from his family and his ex-wife when he falls in love with a 26-year-old woman.,,Ajay Devgn|Tabu|Rakul Preet Singh|Jimmy Sheirgill|Alok Nath|Madhumalti Kapoor|Harry Anton|Gergo Baranyi|Sammy John Heaney|Bhavin Bhanushali|Gandharv Dewan|Gulnaaz Khan|Kumud Mishra|Sunny Singh Nijjar|,,17 May 2019 (USA)
36,Kabir Singh,tt8983202,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Kabir_Singh.jpg/220px-Kabir_Singh.jpg,https://en.wikipedia.org/wiki/Kabir_Singh,Kabir Singh,Kabir Singh,0,2019,173,Drama|Romance,7.2,20535,This Sandeep Vanga directorial is a remake of the 2017 Telugu movie Arjun Reddy. The plot revolves around an alcoholic surgeon battling temper issues. Things get worse as he watches the love of his life marry another man. High on emotions coupled with impressive action the film promises an intense watch.,Kabir Singh is a remake of a Telugu movie Arjun Reddy (2017)  where a short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.,,Shahid Kapoor|Kiara Advani|Soham Majumdar|Arjan Bajwa|Suresh Oberoi|Kamini Kaushal|Adil Hussain|Nikita Dutta|Amit Sharma|Anurag Arora|Dolly Mattoo|Aanchal Chauhan|Suparna Marwah|Swati Seth|,,20 June 2019 (USA)
37,Article 15 (film),tt10324144,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Article_15_Poster.jpg/220px-Article_15_Poster.jpg,https://en.wikipedia.org/wiki/Article_15_(film),Article 15,Article 15,0,2019,130,Crime|Drama,8.3,13417,In the rural heartlands of India  an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.,In the rural heartlands of India  an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.,Farq Bahut Kar Liya| Ab Farq Laayenge.,Ayushmann Khurrana|Nassar|Manoj Pahwa|Kumud Mishra|Isha Talwar|Sayani Gupta|Mohammed Zeeshan Ayyub|Subhrajyoti Barat|Sushil Pandey|Aakash Dabhade|Ashish Verma|Ronjini Chakraborty|Veen|Sumbul Touqueer|,1 win,28 June 2019 (USA)
40,Super 30 (film),tt7485048,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Super_30_The_Film.jpg/220px-Super_30_The_Film.jpg,https://en.wikipedia.org/wiki/Super_30_(film),Super 30,Super 30,0,2019,154,Biography|Drama,8.2,13972,Anand Kumar  a Mathematics genius from a modest family in Bihar who is made to believe that only a King's son can become a king is on a mission to prove that even the poor man can create some of the world's most genius minds. He starts a training program named 'Super 30' to help 30 IIT aspirants crack the entrance test and make them highly successful professionals.,Based on life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.,Inspired by the Life of Anand Kumar & His Students,Hrithik Roshan|Mrunal Thakur|Nandish Singh|Virendra Saxena|Sadhana Singh|Aditya Srivastava|Sanket Deshpande|Pankaj Tripathi|Vaibhav Gupta|Ali Haji|Rajesh Sharma|Deepali Kumar|Chittaranjan Giri|Ganesh Kumar|,,12 July 2019 (USA)
42,Batla House,tt8869978,https://upload.wikimedia.org/wikipedia/en/e/ed/Batla_House_poster.jpg,https://en.wikipedia.org/wiki/Batla_House,Batla House,Batla House,0,2019,146,Action|Drama|Thriller,7.3,5556,This action thriller is based on the real-life incident of 'Batla House Encounter'  officially known as Operation Batla House  to the silver screen. The incident took place on September 19  2008  against Indian Mujahideen (IM) terrorists in Batla House locality in Jamia Nagar  Delhi.,After a deadly encounter  a police officer works to prove that the police acted lawfully.,The Story of India's Most Decorated / Controversial Cop,John Abraham|Nora Fatehi|Mrunal Thakur|Rajesh Sharma|Ravi Kishan|Sonam Arora|Sahidur Rahaman|Manish Chaudhary|Anil Rastogi|Kranti Prakash Jha|Amruta Sant|Anil Khopkar|Aditi Gulati|Jitendra Trehan|,,15 August 2019 (USA)
50,Mission Mangal,tt9248972,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Mission_Mangal.jpg/220px-Mission_Mangal.jpg,https://en.wikipedia.org/wiki/Mission_Mangal,Mission Mangal,Mission Mangal,0,2019,130,Drama|History,6.5,7165,Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan)  making it the least expensive mission to Mars.,Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan)  making it the least expensive mission to Mars.,This Independence Day...The Sky is Not the Limit,Akshay Kumar|Vidya Balan|Nithya Menon|Taapsee Pannu|Sonakshi Sinha|Kirti Kulhari|H.G. Dattatreya|Sharman Joshi|Sanjay Kapoor|Dalip Tahil|Vikram Gokhale|Mohammed Zeeshan Ayyub|Purab Kohli|,,15 August 2019 (USA)
51,Saaho,tt6836936,https://upload.wikimedia.org/wikipedia/en/6/6b/Saaho_poster.jpg,https://en.wikipedia.org/wiki/Saaho,Saaho,Saaho,0,2019,170,Action|Thriller,5.5,12049,This action thriller is about a power battle which is taking place in the higher echelons of power unrelated and unconnected episodes occurring in different parts of the globe  Intertwine in an unforeseen manner to a revelation of mind games. The story delves the audience into the game of a brilliant master mind to reveal the true nature of all that are involved. It challenges the perceptions of who is the hunter and who is the hunted.,"An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box "" their ultimate key to a treasure.",,Jacqueline Fernandez|Shraddha Kapoor|Prabhas|Jackie Shroff|Mandira Bedi|Neil Nitin Mukesh|Chunky Pandey|Arun Vijay|Mahesh Manjrekar|Evelyn Sharma|Tinnu Anand|Michael Segal|Philip Fornah|Vennela Kishore|,,30 August 2019 (USA)
61,Housefull 4,tt7721946,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Housefull_4_poster.jpg/220px-Housefull_4_poster.jpg,https://en.wikipedia.org/wiki/Housefull_4,Housefull 4,Housefull 4,0,2019,145,Action|Comedy|Fantasy,3.3,4572,In 1419 Sitamgarh  3 couples are parted away due to an evil conspiracy. 600 hundred years later in 2019 in London  the couples's reincarnations meet again but this time each one of them is marrying the wrong person. How they come to realize about their true love is what forms the crux of the story.,A set of three brothers are due to marry a set of three sisters  until one of the brothers starts to realize that they are all reincarnations from 600 years earlier and the wrong couples are about to get married.,,Akshay Kumar|Riteish Deshmukh|Bobby Deol|Kriti Sanon|Pooja Hegde|Kriti Kharbanda|Rana Daggubati|Sammy John Heaney|Sharad Kelkar|Aakash Dabhade|Chunky Pandey|Ranjeet|Johnny Lever|Saurabh Sachdeva|,,25 October 2019 (USA)
74,Dil Bechara,tt8110330,,https://en.wikipedia.org/wiki/Dil_Bechara,Dil Bechara,Dil Bechara,0,2019,101,Drama|Romance,6.6,117000,A love story about two cancer patients.,A love story about two cancer patients.,,Sushant Singh Rajput|Sanjana Sanghi|Sahil Vaid|,,
75,Pati Patni Aur Woh (2019 film),tt9680136,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Pati_Patni_Aur_Woh_poster.jpg/220px-Pati_Patni_Aur_Woh_poster.jpg,https://en.wikipedia.org/wiki/Pati_Patni_Aur_Woh_(2019_film),Pati Patni Aur Woh,Pati Patni Aur Woh,0,2019,126,Comedy|Romance,5.7,6100,Chintu Tyagi is an ordinary  middle class man who finds himself torn between his wife and another woman.,Chintu Tyagi is an ordinary  middle class man who finds himself torn between his wife and another woman.,,Kartik Aaryan|Bhumi Pednekar|Ananya Panday|Aparshakti Khurana|,,
77,Mardaani 2,tt5668770,https://upload.wikimedia.org/wikipedia/en/thumb/b/bd/Mardaani_2_Film_poster.jpg/220px-Mardaani_2_Film_poster.jpg,https://en.wikipedia.org/wiki/Mardaani_2,Mardaani 2,Mardaani 2,0,2019,103,Action|Drama|Thriller,7.4,8100,Shivani Shivaji Roy locks horns with the devil incarnate  a young & remorseless serial killer who is raping & murdering young women.,Shivani Shivaji Roy locks horns with the devil incarnate  a young & remorseless serial killer who is raping & murdering young women.,,Rani Mukerji|Rajesh Sharma|Shruti Bapna|,,
78,Dabangg 3,tt7059844,https://upload.wikimedia.org/wikipedia/en/thumb/8/89/Dabangg_3_poster.jpg/220px-Dabangg_3_poster.jpg,https://en.wikipedia.org/wiki/Dabangg_3,Dabangg 3,Dabangg 3,0,2019,160,Action,3.0,15000,Third installment of the Dabanng film series.,Third installment of the Dabanng film series.,,Salman Khan|Sonakshi Sinha|Sudeep|Mahesh Manjrekar|Ashwami Manjrekar|Nawab Shah|Arbaaz Khan|Abhilash Chaudhary|Saiee Manjrekar|Pramod Khanna|Rajiv Kachroo|Resh Lamba|Manjit Singh|,,
79,Good Newwz,tt8504014,,https://en.wikipedia.org/wiki/Good_Newwz,Good Newwz,Good Newwz,0,2019,134,Comedy|Drama|Romance,6.9,16000,It is an upcoming Indian romantic comedy film starring Akshay Kumar  Kiara Advani  Kareena Kapoor Khan and Diljit Dosanjh in lead roles.,It is an upcoming Indian romantic comedy film starring Akshay Kumar  Kiara Advani  Kareena Kapoor Khan and Diljit Dosanjh in lead roles.,,Akshay Kumar|Kareena Kapoor|Kiara Advani|Tisca Chopra|Gulshan Grover|Diljit Dosanjh|Tanmay Dhanania|Anjana Sukhani|Yukta Mookhey|Auritra Ghosh|Preeti Kochar|,,
84,Mukkabaaz,tt7180544,https://upload.wikimedia.org/wikipedia/en/thumb/d/dd/Mukkabaaz_poster.jpg/220px-Mukkabaaz_poster.jpg,https://en.wikipedia.org/wiki/Mukkabaaz,The Brawler,Mukkabaaz,0,2017,154,Action|Drama|Sport,8.1,5434,A boxer (Shravan) belonging to upper cast  trains at a gym controlled by a local Don (Bhagwan Das Mishra). Shravan falls for Mishra's niece (Sunaina). The Don does not approve of this match because of previous scuffle between Bhagwan and Shravan. Shravan strives to win Sunaina's hand in marriage and becomes a successful boxer while trying to avoid retaliation from the Don.,A boxer struggles to make his mark in the boxing world.,,Viineet Kumar|Jimmy Sheirgill|Zoya Hussain|Ravi Kishan|Rajesh Tailang|Shreedhar Dubey|Sadhana Singh|Shakti Kumar|Chittaranjan Tripathy|Sukhesh Mishra|Shikha Chauhan|Abhay Joshi|Nawazuddin Siddiqui|,3 wins & 6 nominations,12 January 2018 (USA)
86,Love per Square Foot,tt7853242,https://upload.wikimedia.org/wikipedia/en/3/3d/Love_Per_Square_Foot.png,https://en.wikipedia.org/wiki/Love_Per_Square_Foot,Love Per Square Foot,Love Per Square Foot,0,2018,133,Comedy|Romance,7.2,6248,Love Per Sq Ft  is a feature film which deals with the very common predicaments that faces today's urban youth; finding a house and finding love. Through the course of this romantic comedy we see Sanjay Chaturvedi and Karina D'souza desperately seeking a house  but realizing the difference between 'ghar' and 'makaan'.,Individually  Sanjay and Karina don't earn enough to be able to buy a home  so they enter into a marriage of convenience.,,Vicky Kaushal|Angira Dhar|Alankrita Sahai|Raghuvir Yadav|Ratna Pathak Shah|Supriya Pathak|Brijendra Kala|Rekha Bhardwaj|Kunaal Roy Kapur|Arunoday Singh|Deepal Doshi|Raviza Chauhan|Ranbir Kapoor|Asif Ali Beg|,,14 February 2018 (India)
88,Padmaavat,tt5935704,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Padmaavat_poster.jpg/220px-Padmaavat_poster.jpg,https://en.wikipedia.org/wiki/Padmaavat,Padmaavat,Padmaavat,0,2018,164,Drama|History|Romance,7.0,24550,This fictional story is set in 13th century medieval India. a Princess of Sinhala(modern-day Sri Lanka) called Padmavati falls in love with already married Maharawal Ratan Singh  King of Chittor. Upon their marriage  Padmavati is crowned queen  taking the place of wife of Ratan Singh and they reside together in joy and splendor. Their perfect life takes an unfortunate turn when a banished royal priest Chetan convinces Sultan of Delhi Allauddin Khilji to attack Chittor and capture Padmavati for her beauty and luck she could bring him. Sultan Allaudin Khilji  convinced by the priest and driven by desire of ultimate power  prepares to attack Chittorgarh.,Set in medieval Rajasthan  Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar.,,Deepika Padukone|Ranveer Singh|Shahid Kapoor|Aditi Rao Hydari|Jim Sarbh|Anupriya Goenka|Raza Murad|Ujjwal Chopra|Komal Chhabria|Lankesh Bhardwaj|Bhawani Muzamil|Hriiday Malhotra|Deepak Shreemali|Manish Wadhwa|,30 wins & 32 nominations,25 January 2018 (India)
92,Sonu Ke Titu Ki Sweety,tt7581902,https://upload.wikimedia.org/wikipedia/en/thumb/7/77/Sonu_Ke_Titu_Ki_Sweety_-_Movie_Poster.jpg/220px-Sonu_Ke_Titu_Ki_Sweety_-_Movie_Poster.jpg,https://en.wikipedia.org/wiki/Sonu_Ke_Titu_Ki_Sweety,Sonu Ke Titu Ki Sweety,Sonu Ke Titu Ki Sweety,0,2018,138,Comedy|Romance,7.1,17378,"We have always been told that ""Marriage"" is a marriage between two families. 'Sonu ke Titu ki Sweety' explores the new age version of the same belief where ""Marriage"" is a marriage between two friend circles. What happens when you decide to get married  but your best friend and your girlfriend can't see eye to eye. Sonu and Titu are childhood friends. Titu has always been a naïve lover  who falls in love easily and Sonu has always had to step in to save him. But Sweety is the perfect bride and Titu is head over heels in love with her. Sonu's instinct to protect Titu at whatever cost  makes him feel that she's too good to be true. What ensues is a war between the best friend and the bride to be. While Sweety is trying to impress Titu and the family alike  Sonu is out to sabotage the utopian romance.",Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romance.,,Kartik Aaryan|Nushrat Bharucha|Sunny Singh Nijjar|Alok Nath|Madhumalti Kapoor|Ishita Raj|Pawan Chopra|Ayesha Raza|Deepika Amin|Rajesh Jais|Virendra Saxena|,4 wins & 9 nominations,23 February 2018 (USA)
96,Raid (2018 film),tt7363076,https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Ajay_Devgn%27s_Raid_poster.jpg/220px-Ajay_Devgn%27s_Raid_poster.jpg,https://en.wikipedia.org/wiki/Raid_(2018_film),Raid,Raid,0,2018,122,Action|Crime|Drama,7.4,13159,Set in the 80s in Uttar Pradesh  India  Raid is based on the true story of one of the most high profile raids the country has ever known. Amay Patnaik (Ajay Devgn)  an upright and no-nonsense Income Tax officer has already been transferred 49 times in the past seven years owing to his idealistic and courageous disposition to uncover tax frauds  hitting hard the pockets of many a big shot. When Patnaik is assigned the case of Tauji  a highly influential and feared man in Uttar Pradesh  little does he know that his unerring determination to bring Tauji to justice would culminate in the longest and most challenging raid of his career as also the history of the Income Tax Department of India. Would Amay succeed in the face of an increasingly stubborn and belligerent Tauji forms the crux of the story.,A fearless income tax officer raids the mansion of the most powerful man in Lucknow after someone mysteriously draws his attention towards the evidence.,Heroes don't always come in uniform,Ajay Devgn|Saurabh Shukla|Ileana D'Cruz|Amit Sial|,2 wins & 3 nominations,16 March 2018 (India)
97,Hichki,tt6588966,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Hichki_-_Poster.jpg/220px-Hichki_-_Poster.jpg,https://en.wikipedia.org/wiki/Hichki,Hichki,Hichki,0,2018,116,Comedy|Drama,7.5,8129,Hichki is a story about a woman who turns her most daunting weakness into her biggest strength. Naina Mathur (Rani Mukerji) is an aspiring teacher who suffers from Tourette Syndrome. After several interviews and numerous rejections  she lands her dream job as a full-time teacher in one of the most elite schools in the city. However  she soon realises that the class she has been assigned comprises of defiant and impish students who can't seem to keep out of trouble. Despite a few initial hiccups  Naina must do whatever she can to ensure that her students realise their true potential  and defy all the odds against them.,Hichki presents a positive and inspiring story about a woman who turns her biggest weakness into her biggest strength.,,Rani Mukerji|Sachin|Neeraj Kabi|Rohit Saraf|Jannat Zubair Rahmani|Harsh Mayar|Vikram Gokhale|Leena Acharya|Supriya Pilgaonkar|Ivan Rodrigues|Shivkumar Subramaniam|Asif Basra|Hussain Dalal|Riya Shukla|,4 nominations,23 March 2018 (USA)
99,Baaghi 2,tt6843812,https://upload.wikimedia.org/wikipedia/en/thumb/e/e2/Baaghi_2_Official_Poster.jpg/220px-Baaghi_2_Official_Poster.jpg,https://en.wikipedia.org/wiki/Baaghi_2,Baaghi 2,Baaghi 2,0,2018,137,Action|Thriller,5.0,7657,Ronnie is serving in the Indian army.He gets a call from his former lover Neha as she is clueless about her missing daughter.Upon reaching Goa Ronnie sees that Neha is very disturbed by the event and cops are not taking the missing case seriously. Ronnie then starts his own investigation and finds that there is no truth in Neha's story as such thing never happened. But Neha is adamant that her daughter has been kidnapped.,A battle-hardened army officer squares off against drug lords and Russian henchmen to save his ex-lover's kidnapped daughter in the underbelly of Goa  India.,Rebel for love,Tiger Shroff|Disha Patani|Manoj Bajpayee|Randeep Hooda|Deepak Dobriyal|Prateik|Darshan Kumaar|,3 wins & 1 nomination,30 March 2018 (USA)
