,title_x,imdb_id,poster_path,wiki_link,title_y,original_title,is_adult,year_of_release,runtime,genres,imdb_rating,imdb_votes,story,summary,tagline,actors,wins_nominations,release_date
165,Raees (film),tt3405236,https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/Raees_Poster.jpg/220px-Raees_Poster.jpg,https://en.wikipedia.org/wiki/Raees_(film),Raees,Raees,0,2017,143,Action|Crime|Drama,6.8,37609,The film is set in the early 80's and 90's in Gujarat. The fictitious story of a man who builds an empire in the state of Gujarat  the only state that still follows prohibition. It's a story about his rise and his relationships  which help him become the single most powerful man in the state.,A bootlegger sets out to improve his community as a promising leader but falls in a political trap.,Baniye ka dimaag aur Miyanbhai ki daring.,Raj Arjun|Shubham Chintamani|Shubham Tukaram|Yug|Sagar|Sheeba Chaddha|Loveleen Mishra|Utkarsh Mazumdar|Prasoon Narayan|Avinash Razdan|Nishad Raj Rana|Ashok|Atul Kulkarni|Mahendra Shrivas|,3 wins & 15 nominations,25 January 2017 (USA)
166,Thugs of Hindostan,tt5970844,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Thugs_of_Hindostan_poster.jpg/220px-Thugs_of_Hindostan_poster.jpg,https://en.wikipedia.org/wiki/Thugs_of_Hindostan,Thugs of Hindostan,Thugs of Hindostan,0,2018,164,Action|Adventure,4.0,15980,The menacing John Clive has the Indians clenched in his fist. Leading to a revolution by the righteous Azaad (Amitabh Bachchan) Captain James Powell  Clive's second in command contracts the sly thug Firangi (Aamir Khan) to get them Azaad. As destined he finds himself amid Azaad  his rebels and the beautiful warrior Zafira (Fatima Sana Shaikh). Will he forgo his selfish desire for nation's freedom?,A story about one man's love for his nation and another's love for power. An epic adventure filled with edge-of-the-seat thrills and war on the seas.,,Aamir Khan|Katrina Kaif|Amitabh Bachchan|Fatima Sana Shaikh|Lloyd Owen|Ronit Roy|Joe Azzopardi|Terence J. Rotolo|Mohammed Zeeshan Ayyub|Sharat Saxena|Shaji Chaudhary|Satyadev Kancharana|Bilal Hossein|Abdul Quadir Amin|,1 win,8 November 2018 (USA)
169,The Ghazi Attack,tt6299040,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/The_Ghazi_Attack_Poster.jpg/220px-The_Ghazi_Attack_Poster.jpg,https://en.wikipedia.org/wiki/The_Ghazi_Attack_(film),The Ghazi Attack,The Ghazi Attack,0,2017,116,Action|Thriller|War,7.6,10332,In 1971  amid rising tensions between India and Pakistan over the liberation war of East Pakistan  Pakistan navy  in a top secret mission  plans an attack on Indian majestic-class aircraft carrier INS Vikrant  to gain control over the waters of Bay of Bengal. They send their best-in-class submarine PNS Ghazi  but are intercepted by an Indian submarine INS Karanj (S21). An underwater attack ensues.,A Pakistani submarine  Ghazi plans to secretly attack Vizag port. For doing so  it has to get past Indian submarine S21.,The war you did not know about,Rana Daggubati|Kay Kay Menon|Atul Kulkarni|Om Puri|Nassar|Rahul Singh|Milind Gunaji|Taapsee Pannu|,1 win & 7 nominations,17 February 2017 (USA)
174,Badrinath Ki Dulhania,tt6277440,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Badrinath_Ki_Dulhania_poster.jpg/220px-Badrinath_Ki_Dulhania_poster.jpg,https://en.wikipedia.org/wiki/Badrinath_Ki_Dulhania,Badrinath Ki Dulhania,Badrinath Ki Dulhania,0,2017,139,Comedy|Drama|Romance,6.2,8868,Badrinath Bansal from Jhansi and Vaidehi Trivedi from Kota belong to small towns but have diametrically opposite opinions on everything. This leads to a clash of ideologies  despite both of them recognizing the goodness in each other.,Badrinath Bansal from Jhansi and Vaidehi Trivedi from Kota belong to small towns but have diametrically opposite opinions on everything. This leads to a clash of ideologies  despite both of them recognizing the goodness in each other.,,Varun Dhawan|Alia Bhatt|Sahil Vaid|Swanand Kirkire|Rituraj Singh|Yash Sinha|Rajendra Sethi|Brahma Mishra|Shweta Basu Prasad|Leena Prabhu|Kanupriya Pandit|Sukhmani Lamba|Akansha Singh|Gauhar Khan|,9 wins & 17 nominations,10 March 2017 (USA)
175,Trapped (2016 Hindi film),tt6206564,https://upload.wikimedia.org/wikipedia/en/thumb/6/62/Trapped_2016_poster.jpg/220px-Trapped_2016_poster.jpg,https://en.wikipedia.org/wiki/Trapped_(2016_Indian_film),Trapped,Trapped,0,2016,105,Action|Drama|Thriller,7.5,8295,'Shaurya' (Rajkummar Rao) must pluck up the courage to stay alive after he accidentally locks himself up in his new rented apartment in a desolate Mumbai high-rise  for almost a week. To make things worse  his phone battery dies and since the building is devoid of residents  electricity and water or food supply  Shaurya must take extreme measures to survive this unexpected nightmare.,A man struggles to survive after he unintentionally locks himself up in a high rise devoid of food  water and electricity.,,Rajkummar Rao|Geetanjali Thapa|Shiladitya Sen|Rahul Patel|Rahul Dutta|Vishwas|Girish|Malay Garg|Rajiv Khanna|Yogendra Vikram Singh|Patrick Graham|Hardik Mehta|Vivek Soni|Anup Rupanwar|,4 wins & 4 nominations,17 March 2017 (India)
182,Naam Shabana,tt6170954,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Naam_Shabana_Poster.jpg/220px-Naam_Shabana_Poster.jpg,https://en.wikipedia.org/wiki/Naam_Shabana,Naam Shabana,Naam Shabana,0,2017,147,Action|Thriller,6.3,4791,Shabana a college student who is also Kudo fighter lives with her mother in Mumbai at a young age she had killed her father trying to save her mother from his daily abuse and was sent to children remand home. Shabana is in love with Jai who gets killed by some spoiled brats when he tries to save Shabana from their abuse. Three months after the death of Jai the police haven't made any arrest as they were trying to save the culprits. Shabana then gets a anonymous call from Ranvir Singh telling that he will provide her details of Jai's killers in return she has to work for their secret National Defense Force.,This Spin-off from Baby (2015) provides the back-story of intelligence agent Shabana  and chronicles how she becomes a spy.,Her story... before Baby.,Taapsee Pannu|Akshay Kumar|Manoj Bajpayee|Taher Shabbir|Virendra Saxena|Prithviraj Sukumaran|Danny Denzongpa|Madhurima Tuli|Murli Sharma|Anupam Kher|,1 win & 2 nominations,31 March 2017 (USA)
190,Half Girlfriend (film),tt5474042,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Half_Girlfriend_Poster.jpg/220px-Half_Girlfriend_Poster.jpg,https://en.wikipedia.org/wiki/Half_Girlfriend_(film),Half Girlfriend,Half Girlfriend,0,2017,135,Drama|Romance,4.3,5577,Once upon a time  there was a Bihari boy called Madhav. He fell in love with a girl from Delhi called Riya. Madhav didn't speak English well. Riya did. Madhav wanted a relationship. Riya didn't. Riya just wanted friendship. Madhav didn't. Riya suggested a compromise. She agreed to be his half girlfriend.,"Madhav meets a girl named Riya and falls in love. After stuggling to convince her to be his girlfriend  she half heartedly agrees to be his ""Half Girlfriend""",,Shraddha Kapoor|Dalip Sondhi|Arjun Kapoor|Vikrant Massey|Rhea Chakraborty|Greg Kriek|Anisa Butt|Carishma Basday|Seema Biswas|Paula McGlynn|Adam Davenport|Vikas Mandaliya|Aaron Latta-Morissette|Hugo Salazar Jr.|,3 wins & 9 nominations,19 May 2017 (USA)
192,Sachin: A Billion Dreams,tt4640206,https://upload.wikimedia.org/wikipedia/en/thumb/8/86/Sachin_A_Billion_Dreams_Poster.jpg/220px-Sachin_A_Billion_Dreams_Poster.jpg,https://en.wikipedia.org/wiki/Sachin:_A_Billion_Dreams,Sachin,Sachin,0,2017,138,Documentary|Sport,8.6,7239,A tale of a small boy with dreams and his journey to becoming the God of Cricket and the most celebrated sportsperson in his country.,A tale of a small boy with dreams and his journey to becoming the God of Cricket and the most celebrated sportsperson in his country.,,Sachin Tendulkar|Mayur More|Mayuresh Pem|,,26 May 2017 (USA)
193,Hindi Medium,tt5764096,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Hindi_Medium_poster.jpg/220px-Hindi_Medium_poster.jpg,https://en.wikipedia.org/wiki/Hindi_Medium_(film),Hindi Medium,Hindi Medium,0,2017,132,Comedy|Drama,7.8,18315,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.,,Irrfan Khan|Saba Qamar|Dishita Sehgal|Deepak Dobriyal|Swati Das|Amrita Singh|Sumit Gulati|Angshuman Nandi|Neha Dhupia|Sahani|Arha Mahajan|Shiva Kumar|Sachin Kumar|Kiran Khoje|,6 wins & 15 nominations,19 May 2017 (USA)
200,Tubelight (2017 Hindi film),tt5882970,https://upload.wikimedia.org/wikipedia/en/thumb/0/04/Tubelight_Poster.jpg/220px-Tubelight_Poster.jpg,https://en.wikipedia.org/wiki/Tubelight_(2017_Hindi_film),Tubelight,Tubelight,0,2017,136,Drama|War,4.0,12911,In a small picturesque town in North India  Laxman (Salman Khan) lives with his younger brother Bharat (Sohail Khan). The two have no other family and are inseparable. Laxman's world comes crashing down  when war breaks out and Bharat gets drafted into the Army. A helpless Bharat leaves a devastated Laxman behind. News from the border only worsens  as the tension continues to escalate. Seeing the carnage around him and worried for his brother  Laxman decides he must stop this conflict and get his brother back.,A story of two brothers set during the Sino-Indian war  1962: the younger one who's at war at the borders and the elder who's at war with his own world.,Kya Tumhe Yakeen Hai? (Do You Have Faith?),Salman Khan|Sohail Khan|Om Puri|Mohammed Zeeshan Ayyub|Yashpal Sharma|Zhu Zhu|Matin Rey Tangu|Brijendra Kala|Isha Talwar|Jason D'Souza|Matt Kramer|Neeraj Khetarpal|Kapil Sharma|Mitansh Lulla|,1 win & 3 nominations,23 June 2017 (USA)
