Name,CMP,MarCap_Cr,Assets_Cr,BookValue,Sales_Cr,PAT_12M_Cr,Investments_Cr,Capital_Employed_Cr,ROCE,ROE,ROA_12M,DebtoverEq,CFOpr5Yrs_Cr,CFOperations_Cr,Free_Cash_Flow_Cr,Export,FII_Hold,OPM,Sales_3Yrs,Profit_3Yrs,3Yrs_stock_return,Dep_Cr,Interest_Cr
Bajaj Electrical,1147.85,13203.97,4342.28,158.94,1220.35,214.40,49.64,1425.04,13.34,9.42,3.86,0.03,1518.12,935.83,901.97,0.00,10.81,6.11,-10.52,-1.56,51.47,56.75,52.93
Natl. Aluminium,71.85,13196.20,17669.07,71.06,3489.57,2605.30,876.94,13220.58,33.98,25.41,18.45,0.01,9808.37,3958.35,2684.83,0.00,14.69,26.07,7.24,19.44,18.44,836.59,23.12
Rail Vikas,63.15,13166.90,16498.23,33.68,4908.90,1350.06,1986.73,8428.77,16.79,19.66,6.94,0.91,3200.11,4800.12,4684.22,0.00,1.76,6.30,24.40,20.40,40.23,20.91,563.71
Radico Khaitan,977.85,13071.29,3190.02,153.98,761.39,233.19,175.40,2209.60,16.44,13.44,9.44,0.20,1274.28,219.94,84.52,0.00,18.86,12.35,11.49,10.27,45.29,64.88,13.35
Shri.City Union.,1921.80,12883.31,48143.56,1511.53,2155.21,1364.11,1833.52,5925.94,10.87,13.04,2.83,3.69,-8976.08,-3861.27,-3889.03,0.00,26.95,63.35,5.38,4.75,11.79,86.23,2829.20
KEI Industries,1409.00,12708.11,3284.15,259.86,1608.07,427.80,1.95,2550.46,23.85,19.25,11.51,0.08,1182.81,228.63,169.00,0.00,26.96,9.94,10.65,27.40,44.67,55.45,40.39
Suven Pharma,496.05,12627.69,1806.02,59.04,278.40,431.34,444.40,1533.89,40.83,29.79,24.42,0.06,,330.00,254.81,0.00,7.58,43.26,51.75,54.60,,39.10,8.53
SJVN,32.10,12614.64,26273.25,35.65,878.48,1302.84,274.11,20380.18,9.20,7.78,4.96,0.64,8493.17,2137.73,-2290.06,0.00,2.96,74.84,-2.96,-10.45,8.76,404.29,225.52
Indiamart Inter.,4108.75,12578.76,3000.50,621.96,229.10,257.10,2874.00,1277.30,22.47,17.65,11.30,0.03,1438.92,406.76,402.52,0.00,25.00,31.68,14.72,190.79,25.44,11.90,5.40
Aditya AMC,436.50,12571.20,2560.32,81.25,311.09,639.29,2204.18,143.24,44.83,34.50,30.45,0.02,2233.80,563.18,547.19,0.00,2.34,62.82,-0.05,14.62,,35.62,5.00
Happiest Minds,848.25,12457.70,1317.63,50.21,337.65,210.15,324.35,814.55,31.23,30.65,18.74,0.53,,159.27,155.24,0.00,3.94,24.64,20.52,76.35,,24.23,8.30
Lak. Mach. Works,11443.70,12225.30,4076.94,1990.67,1211.90,324.02,467.35,1547.08,13.51,10.25,6.04,0.00,1024.82,484.77,410.85,0.00,4.71,9.24,5.35,-1.49,51.85,59.72,0.09
RHI Magnesita,756.35,12176.96,1905.07,70.87,599.14,328.61,10.13,1177.40,36.79,29.33,18.30,0.06,477.23,26.47,-35.44,0.00,2.47,19.65,38.58,43.99,48.18,33.63,3.26
Sheela Foam,1241.85,12116.19,2448.44,152.83,722.16,211.28,615.20,1632.16,17.84,16.20,9.46,0.33,879.91,197.15,54.24,30.54,3.16,10.04,13.01,16.90,24.41,80.78,16.97
Glenmark Pharma.,429.15,12109.25,18030.85,339.27,3375.25,959.53,44.63,12612.58,15.99,13.61,7.11,0.44,6604.49,1108.65,322.89,64.40,23.14,17.90,7.64,10.31,7.33,486.72,298.10
Global Health,444.55,11922.16,3221.94,66.17,617.21,196.00,0.05,2705.85,14.65,13.22,6.71,0.63,,311.26,38.16,0.00,6.76,21.11,14.17,56.26,,129.71,86.32
