Name,CMP,MarCap_Cr,Assets_Cr,BookValue,Sales_Cr,PAT_12M_Cr,Investments_Cr,Capital_Employed_Cr,ROCE,ROE,ROA_12M,DebtoverEq,CFOpr5Yrs_Cr,CFOperations_Cr,Free_Cash_Flow_Cr,Export,FII_Hold,OPM,Sales_3Yrs,Profit_3Yrs,3Yrs_stock_return,Dep_Cr,Interest_Cr
NTPC,163.00,158055.66,440092.50,145.99,157729.85,16940.35,13523.33,338638.55,9.23,12.57,4.10,1.58,136477.22,41788.23,17457.31,0.00,14.97,27.88,9.78,2.93,12.27,13787.83,9375.68
M & M,1224.60,152241.36,192114.58,406.31,107811.62,8354.11,32271.96,83443.72,11.31,14.17,4.11,1.65,22034.02,9247.55,3327.69,0.00,38.27,16.95,-4.86,6.64,32.41,3507.50,5018.05
Power Grid Corpn,211.25,147356.44,252644.59,117.85,43189.43,14648.16,3789.05,211849.53,11.48,19.27,5.56,1.59,132246.11,26123.52,18157.30,0.00,31.70,84.16,5.88,9.38,14.60,12871.66,8036.22
Tata Motors,378.35,135444.62,315639.72,78.81,302214.38,-9487.21,22125.89,168583.24,1.40,-22.33,-3.32,5.52,112664.45,14282.83,-655.49,0.00,14.13,7.72,-2.66,,29.18,24835.69,9311.86
Coal India,215.05,132529.47,195149.02,91.46,126070.51,26125.89,8313.87,109370.38,54.29,43.61,10.21,0.07,94127.61,41087.51,29091.93,0.00,6.73,27.97,3.28,-0.18,2.63,4428.67,541.49
Hindustan Zinc,313.15,132315.86,42547.00,74.03,34510.00,11404.00,13603.00,35749.00,37.34,28.75,21.18,0.09,48460.00,12691.00,9723.00,0.00,0.81,54.71,11.71,7.62,13.99,2917.00,290.00
Pidilite Inds.,2490.25,126581.79,9998.28,129.90,11470.08,1298.89,447.37,7354.94,26.13,20.23,13.26,0.10,5268.26,955.37,581.40,0.00,11.34,17.26,11.91,8.95,21.84,239.61,42.08
LTI Mindtree,4266.55,126203.88,12853.30,524.18,17798.70,2561.80,2921.30,8848.20,35.72,28.50,19.85,0.09,7934.00,1652.00,796.40,0.00,9.64,19.21,18.38,14.87,34.08,354.90,72.80
Tata Steel,102.25,124878.51,289207.10,88.02,253414.20,28726.62,9088.26,197476.50,31.55,42.60,15.81,0.81,142235.73,44380.99,34428.27,0.00,21.52,20.50,15.66,66.76,30.22,9100.87,5462.20
SBI Life Insuran,1224.60,122561.79,288440.08,122.07,73866.74,1675.80,279704.29,3945.39,15.32,13.68,0.60,0.00,88896.00,21851.94,21785.25,0.00,24.33,1.15,22.99,6.37,7.17,74.90,0.00
HDFC Life Insur.,565.45,121525.10,232098.87,57.45,59837.79,1317.42,224901.33,-446.77,10.78,10.01,0.62,0.08,39215.33,5540.01,5485.84,0.00,28.81,1.45,19.46,-1.84,-3.30,52.38,0.00
Grasim Inds,1709.10,112527.43,307242.89,1162.09,108740.71,7550.71,66201.65,128042.01,12.19,10.75,4.05,1.14,32934.55,7037.65,-1467.47,6.51,12.03,19.12,4.88,44.37,32.27,4161.07,4776.00
Vedanta,285.20,106014.45,202083.00,145.91,149195.00,16206.61,14742.00,124613.00,32.15,30.03,12.80,1.09,119363.00,34963.00,24658.00,0.00,8.09,28.38,12.98,40.34,24.43,8895.00,4797.00
Britannia Inds.,4331.90,104341.74,7911.70,84.72,15206.00,1574.14,1411.61,3814.51,41.51,49.66,19.54,1.49,7064.12,1299.52,752.50,0.00,17.18,15.13,8.54,9.49,11.91,200.54,144.29
I O C L,73.00,103085.04,454959.21,90.18,772799.38,12761.55,50551.31,260231.89,15.62,20.45,6.71,1.26,123228.61,24570.33,1533.22,0.00,7.22,4.37,3.72,13.25,-4.92,12347.58,4300.70
Bajaj Auto,3541.80,102488.01,32515.67,899.77,35204.10,5594.58,22785.68,6847.07,23.43,19.01,15.81,0.00,17982.23,4197.21,3679.53,0.00,11.56,16.38,2.97,5.30,3.15,269.76,8.66
Adani Power,262.20,101128.94,86619.73,62.75,36725.49,10339.35,20.01,76200.60,20.68,369.83,6.17,1.87,33556.16,10232.73,6799.42,0.00,13.23,37.22,5.08,92.96,62.86,3117.54,4094.78
Dabur India,565.85,100255.24,12745.05,49.72,11268.48,1791.24,6016.56,4405.97,27.19,22.48,15.63,0.12,8121.25,1802.33,1433.13,0.00,20.24,19.73,8.54,6.40,7.33,252.89,38.60
Siemens,2787.20,99257.84,20109.00,326.02,16137.80,1261.82,1.40,10534.20,15.79,11.49,6.63,0.02,4493.00,978.50,1287.20,0.00,6.03,10.89,7.24,5.77,21.98,317.10,36.30
Ambuja Cements,491.25,97544.82,45028.08,128.56,30701.37,1832.35,205.73,30233.62,22.14,11.83,8.94,0.02,19999.81,5309.16,3012.82,0.00,11.05,13.03,3.61,8.10,35.71,1152.49,145.66
Tech Mahindra,995.75,96964.04,45659.30,275.26,49404.50,5291.20,3139.10,27716.80,26.57,21.50,13.39,0.11,25722.70,5285.30,4450.00,0.00,28.20,16.14,8.72,9.15,8.85,1520.40,162.60
Hindalco Inds.,429.55,96528.24,224122.00,404.44,220230.00,13853.62,13532.00,160340.00,16.20,18.49,6.52,0.74,69689.68,16838.00,11483.00,76.13,24.85,12.89,14.32,37.14,25.70,6729.00,3768.00
Divi's Lab.,3498.45,92872.86,13518.26,457.10,9120.74,2992.49,74.53,12389.76,35.07,28.18,24.55,0.00,6804.83,1911.80,1198.60,0.00,15.40,40.23,21.90,29.85,24.41,311.51,2.00
Cipla,1119.15,90323.62,28062.82,271.18,21942.92,2593.25,2795.96,21934.51,17.50,13.18,10.10,0.05,13303.46,3325.90,2644.93,0.00,27.69,20.17,9.97,23.45,32.72,1051.95,106.35
Godrej Consumer,873.40,89322.21,16526.80,123.98,12735.29,1618.33,1701.22,12631.55,18.53,16.98,11.76,0.09,8520.51,1450.57,1174.05,0.00,24.43,17.23,5.98,-5.79,8.11,209.93,122.26
IndusInd Bank,1147.85,89006.02,401974.59,615.51,32487.18,5912.65,70970.78,76818.99,5.95,10.13,1.21,7.15,22117.61,16600.07,16238.51,0.00,46.97,50.80,11.46,11.78,-8.97,321.21,15821.60
Eicher Motors,3113.65,85151.48,17232.20,485.52,12990.83,2333.79,8953.96,5308.32,18.26,13.97,10.92,0.01,8969.85,1527.04,888.34,0.00,30.25,23.03,1.68,-8.65,12.50,451.93,18.78
Shree Cement,23271.40,83964.95,25257.47,4977.96,16454.23,1601.31,8801.04,13832.29,16.61,14.12,10.27,0.16,14853.69,2667.98,458.56,0.00,12.37,18.89,6.13,26.32,4.71,1145.88,216.12
Varun Beverages,1287.60,83636.01,10170.36,74.13,12693.25,1439.18,0.00,7680.30,17.36,18.58,8.42,0.49,5170.55,1231.42,415.97,0.00,25.01,21.18,20.01,32.20,60.56,531.26,206.97
Hind.Aeronautics,2439.65,81578.85,61541.22,623.58,26220.22,5855.39,1295.34,33166.39,30.49,29.37,8.98,0.00,18273.38,10040.08,8543.06,0.00,6.85,24.26,7.16,29.43,50.47,1109.87,65.14
SBI Cards,771.25,72921.46,41581.14,94.55,12137.14,2119.19,1810.35,-1752.97,11.65,23.01,5.24,3.16,-12980.01,-4391.46,-4491.35,0.00,8.82,28.70,15.02,23.18,,148.56,1027.32
Tata Consumer,779.00,72370.01,20811.20,161.57,13073.67,1034.82,1039.85,17303.12,9.61,6.51,5.07,0.09,4819.86,1515.81,1269.73,0.00,25.59,13.75,19.66,33.23,35.18,278.01,72.78
Dr Reddy's Labs,4310.45,71779.27,29168.90,1248.01,22377.90,3109.50,1990.00,20826.20,13.96,11.35,7.49,0.08,14038.60,2810.80,1237.50,0.00,26.26,20.14,11.73,4.50,14.18,1165.20,95.80
Bharat Electron,96.55,70575.91,33477.72,17.69,17143.66,2739.45,174.77,12052.53,27.08,20.51,7.56,0.00,12698.14,4207.22,3660.06,0.00,17.36,22.15,8.11,8.28,42.74,401.13,8.55
B P C L,325.10,70522.41,196770.55,215.59,435308.08,-449.85,26504.27,107285.83,15.57,20.40,6.19,1.73,72897.30,20335.63,12643.27,0.00,12.96,1.53,5.16,11.41,-12.05,5434.35,2605.64
Havells India,1100.80,68966.19,10184.82,98.53,16014.42,1088.47,301.24,6543.09,27.58,21.41,12.35,0.03,4816.08,1727.83,1475.07,0.00,23.30,10.04,11.43,14.82,19.31,260.89,66.92
Apollo Hospitals,4700.15,67580.95,13974.84,416.79,15232.03,839.61,630.65,10550.39,17.79,16.55,7.23,0.67,5627.66,1628.00,976.20,0.00,49.09,13.66,15.09,61.56,50.62,600.70,378.60
Marico,515.55,66661.24,7034.00,29.03,9622.00,1233.00,1263.00,4404.00,42.73,36.64,22.61,0.14,5815.00,1016.00,887.00,0.00,25.00,18.06,9.05,3.37,15.62,139.00,39.00
SRF,2219.35,65787.04,17053.02,311.17,14517.79,2200.18,328.66,13646.23,23.95,24.48,13.16,0.42,6755.46,2105.72,288.60,0.00,19.21,24.75,20.54,43.27,49.37,517.23,115.93
Adani Wilmar,499.65,64938.44,19512.82,58.54,55463.35,696.21,584.24,10414.25,19.97,15.48,4.85,0.40,5969.82,1154.33,634.57,0.00,1.63,2.84,22.05,30.53,,284.74,525.21
Bajaj Holdings,5798.95,64536.51,55046.28,3862.35,463.96,4357.67,52990.72,755.22,10.54,10.14,8.33,0.00,6059.88,1609.65,1608.33,0.00,12.04,70.46,3.94,9.98,19.00,33.71,3.15
United Spirits,874.25,63526.39,10120.60,79.43,10813.20,1119.42,534.50,4479.00,24.22,19.77,10.60,0.10,5451.70,977.40,881.80,0.00,16.07,16.27,1.31,11.58,13.92,303.80,88.00
ICICI Pru Life,439.65,63246.37,247990.14,66.91,43926.58,855.56,241401.03,1141.23,7.26,6.30,0.33,0.12,34807.87,1831.14,1736.08,0.00,16.63,-1.79,14.54,-6.88,-4.19,67.01,0.00
Tata Power Co.,196.90,62916.24,121549.07,80.37,51399.30,2542.61,17850.67,64736.74,9.30,8.42,2.14,2.07,33350.81,6692.73,-7808.08,0.00,10.28,12.31,12.74,103.87,51.97,3122.20,3859.02
GAIL (India),91.55,60195.04,106143.94,100.08,130017.50,11790.58,15993.49,71308.50,23.30,20.89,13.85,0.22,43720.26,9628.59,2690.05,0.00,19.79,11.80,6.78,22.25,4.67,2420.17,202.48
ICICI Lombard,1223.60,60090.68,53904.59,202.53,16825.38,1569.60,40096.22,-30104.33,19.19,15.13,2.82,0.00,11381.68,809.10,737.05,0.00,24.07,6.28,12.81,6.54,-5.11,141.39,0.00
Cholaman.Inv.&Fn,699.25,57456.50,93653.00,157.04,10949.21,2339.28,2432.06,3615.69,9.34,20.16,2.74,6.15,-33738.03,-5571.33,-5665.32,0.00,18.69,70.36,12.60,21.63,32.32,100.63,4297.66
A B B,2680.75,56807.34,8774.81,210.46,8242.12,621.92,1290.04,3954.13,15.76,11.30,5.52,0.01,3051.45,649.24,513.40,0.00,5.39,9.43,1.20,-4.83,28.61,102.70,18.69
Berger Paints,575.55,55906.01,8215.33,42.21,10168.90,945.80,177.65,5566.78,25.90,22.53,12.53,0.40,3119.64,566.50,-193.08,0.00,11.13,14.82,13.07,19.26,3.43,226.51,50.72
Tube Investments,2778.50,53643.94,9734.08,178.50,14412.65,860.66,351.26,5125.86,29.37,28.09,11.13,0.26,2632.97,877.29,640.39,0.00,26.30,11.89,29.46,47.22,78.55,349.21,75.22
Jindal Steel,524.30,53483.22,70652.01,370.97,53431.16,3923.22,1614.23,56752.49,21.67,17.83,9.14,0.38,53574.19,16047.77,13175.60,0.00,11.02,21.99,2.90,123.89,48.52,2096.78,1887.71
UPL,711.20,53383.22,89916.00,332.54,50486.00,4216.90,1615.00,62228.00,15.58,16.72,6.24,1.34,27642.00,6496.00,3931.00,0.00,35.57,20.57,28.41,28.30,7.71,2359.00,2295.00
Torrent Pharma.,1562.50,52882.10,13219.00,179.98,8875.00,1200.00,505.00,10006.00,18.86,18.26,7.98,0.67,7893.48,1802.99,1607.21,44.16,11.37,28.03,3.50,21.79,18.94,662.16,255.06
Hero Motocorp,2636.85,52692.29,24210.71,821.46,33115.40,2582.94,10033.08,11901.50,18.56,14.36,9.90,0.04,16781.77,2103.70,1544.86,0.00,27.79,11.48,-4.54,-12.51,2.72,689.52,53.10
P I Industries,3459.60,52488.40,8585.30,436.18,6064.70,1024.20,923.50,6922.50,17.33,14.72,11.41,0.04,2661.90,528.70,192.50,0.00,16.72,22.85,23.10,27.94,33.52,201.80,20.00
Indus Towers,189.50,51069.06,47036.10,75.98,28907.60,4748.40,0.00,38464.50,24.61,32.43,13.27,0.99,25545.40,9121.20,6251.50,0.00,26.50,44.40,59.54,39.86,-9.46,5325.20,1603.30
Yes Bank,17.45,50174.56,318220.22,13.47,20455.07,1097.34,51895.56,61006.43,4.96,3.21,0.36,7.98,-25128.46,23623.31,23227.77,0.00,23.67,54.73,-13.73,-14.49,-30.15,398.36,12525.66
Bosch,16849.45,49695.16,15869.40,3652.05,13626.10,1292.10,4985.40,5674.90,14.79,11.85,8.05,0.01,4764.30,271.30,-140.70,0.00,3.62,12.28,-0.84,-8.72,3.12,324.30,28.90
Info Edg.(India),3845.60,49679.05,17420.98,1103.74,2045.77,2974.31,12565.32,3718.17,24.26,21.83,18.64,0.01,1861.76,706.75,515.40,0.00,31.81,12.88,11.35,227.52,14.47,44.91,11.43
Macrotech Devel.,1028.50,49547.30,37322.77,238.12,9945.18,1284.70,314.36,20877.29,10.34,14.37,3.11,0.92,8526.69,1998.34,1965.33,0.00,19.45,22.93,-8.13,-9.80,,74.77,687.91
I R C T C,607.25,48580.00,4541.88,27.97,2889.56,896.93,0.00,2328.11,51.33,39.93,19.08,0.08,1703.02,523.74,502.44,0.00,5.81,40.96,0.17,32.61,50.68,48.99,11.05
TVS Motor Co.,1010.50,48008.86,31128.93,106.71,29059.01,1183.77,766.50,14725.66,11.29,18.37,3.10,3.68,-598.97,-1560.16,-2531.04,0.00,12.64,12.26,6.50,2.31,29.57,742.86,940.22
Page Industries,43031.35,47979.96,2464.43,1179.18,4897.20,734.26,0.00,1395.12,67.19,54.39,28.20,0.12,2221.97,326.91,229.03,0.00,25.29,21.51,10.86,11.66,25.19,65.47,33.60
Abbott India,21797.25,46319.16,4100.16,1277.45,5163.23,881.77,0.00,2075.94,38.38,29.46,19.81,0.05,2952.36,947.66,903.82,0.00,0.20,22.79,10.17,21.60,18.75,66.10,19.10
P & G Hygiene,14094.60,45752.11,1681.24,227.22,3887.51,511.87,0.00,486.64,109.98,79.49,34.82,0.01,2738.41,573.10,523.37,0.00,1.68,19.10,9.80,10.75,7.20,52.88,11.19
Trent,1284.40,45658.81,7729.40,67.04,6583.83,297.26,843.78,5978.31,9.29,1.60,0.56,1.90,802.51,58.48,-151.62,0.00,25.92,14.35,19.58,-27.02,35.07,310.82,324.84
Samvardh. Mothe.,66.90,45334.26,57212.41,30.55,69177.83,811.99,6361.03,27733.91,8.09,5.44,2.36,0.68,21442.40,2462.70,26.40,0.00,8.76,6.85,0.01,-17.56,-5.79,2958.20,542.60
United Breweries,1699.40,44932.14,5985.82,149.55,7412.98,550.33,8.16,3467.85,13.07,9.72,6.20,0.00,3234.03,899.62,726.84,0.00,6.93,12.43,-3.39,-13.41,9.36,217.19,14.78
ACC,2374.10,44582.57,20575.95,738.10,17108.06,873.42,157.46,12005.42,19.20,14.09,9.70,0.01,9981.38,2835.49,1682.15,0.00,11.42,9.55,2.95,7.77,17.58,600.68,54.62
HDFC AMC,2075.85,44281.82,5697.08,250.15,2132.25,1381.62,5254.70,166.51,36.17,27.03,25.39,0.00,5136.20,1253.73,1243.56,0.00,12.34,75.14,5.39,14.39,-13.53,53.85,8.64
Container Corpn.,712.30,43400.04,13422.14,181.37,7975.92,1140.92,1212.58,9203.08,13.01,10.04,8.28,0.07,6056.16,1369.42,765.48,0.00,24.06,23.34,3.23,-4.84,7.39,561.42,62.84
AU Small Finance,644.30,42938.36,69077.80,118.65,6975.97,1258.59,15306.50,4545.49,7.19,16.57,1.87,7.84,15917.20,6848.98,6567.97,0.00,38.55,54.03,26.16,43.47,17.99,140.17,2687.61
Colgate-Palmoliv,1567.60,42636.47,2915.96,60.71,5165.68,1070.42,0.00,1410.11,92.04,74.36,37.21,0.05,5016.10,1625.73,1576.18,0.00,19.46,29.88,4.55,12.58,2.07,177.30,5.89
Zydus Lifesci.,420.30,42542.94,25629.30,164.65,15711.00,1962.17,1086.60,18963.50,14.70,14.73,8.84,0.15,10530.70,2104.10,1049.60,0.00,2.61,19.84,5.06,7.16,17.60,713.00,127.00
Schaeffler India,2710.85,42371.58,5287.44,245.71,6595.99,827.73,0.00,3606.03,24.51,18.52,13.89,0.02,2262.79,464.67,282.08,0.00,5.74,18.74,6.82,12.07,43.93,197.11,4.90
Max Healthcare,432.40,41974.09,9503.65,71.34,4117.88,944.64,0.51,7770.47,12.23,10.32,6.94,0.11,1198.10,748.49,192.35,0.00,49.27,25.28,32.48,3032.83,,221.12,100.87
Muthoot Finance,1043.45,41887.87,67899.44,479.03,10539.70,3658.36,3028.97,4587.26,14.15,23.55,5.90,2.43,-17021.04,-1141.54,-1212.83,0.00,9.93,82.20,17.23,26.09,11.93,53.91,3844.60
JSW Energy,253.30,41659.63,33775.82,107.01,9759.59,2108.08,6657.76,21572.42,12.07,10.62,6.03,0.64,15162.58,2952.03,658.45,0.00,5.34,39.41,-3.67,36.14,53.71,1131.05,776.91
FSN E-Commerce,144.85,41257.27,2886.39,4.78,4450.93,44.17,40.51,2100.31,6.87,4.49,2.09,0.67,-393.74,-353.96,-447.93,0.04,6.16,4.82,50.31,54.32,,96.41,47.30
Ashok Leyland,137.85,40474.51,45580.79,24.39,34657.10,319.29,2228.08,18253.64,6.25,1.68,0.30,3.76,-120.45,2844.56,2442.94,0.00,17.59,10.51,-7.54,-60.36,19.94,865.96,1869.05
Balkrishna Inds,2073.70,40088.19,12370.26,392.85,9696.97,1403.01,1864.04,9349.10,23.84,21.86,14.77,0.42,4990.56,908.04,-680.90,83.03,12.96,18.87,16.77,23.39,29.50,455.37,9.35
Patanjali Foods,1101.15,39861.06,12613.47,257.08,28669.27,822.05,42.82,9704.36,17.54,17.32,7.85,0.05,2025.50,724.21,690.42,0.00,2.24,4.93,23.89,118.30,590.13,136.73,358.50
Bharat Forge,842.40,39221.19,16394.82,140.87,11895.63,832.71,2016.72,12124.69,11.50,15.43,6.47,0.99,4926.65,505.85,-458.78,0.00,19.30,15.97,1.03,-3.15,20.11,730.30,160.41
L&T Technology,3702.60,39097.79,6332.20,421.71,7312.40,1067.40,1794.70,4603.00,30.77,24.48,16.84,0.10,4192.20,1006.20,850.70,0.00,6.04,21.48,8.96,6.88,35.81,214.40,43.70
NHPC Ltd,38.70,38874.28,79865.83,36.83,9982.19,3855.27,2476.56,51159.36,6.50,10.39,5.03,0.70,23054.44,6471.79,1457.31,0.00,6.52,41.12,0.76,14.71,17.26,1190.30,586.23
Cummins India,1388.05,38476.75,7026.40,180.85,6866.43,892.07,991.27,5403.47,21.28,16.87,12.50,0.05,3278.30,707.06,777.57,0.00,10.37,14.29,2.76,3.45,35.66,134.02,11.50
CG Power & Indu.,251.65,38428.88,4542.87,8.85,6419.08,580.29,42.52,1646.30,44.86,107.62,10.79,0.18,2124.43,484.58,414.38,0.00,12.97,12.94,-11.41,48.38,189.24,101.21,81.57
Astral,1894.30,38162.32,3970.90,120.43,4877.80,425.50,0.00,2691.50,29.62,22.57,15.98,0.04,2236.45,543.10,198.50,0.00,16.26,14.91,20.56,34.68,30.31,126.90,12.90
Polycab India,2513.90,37634.77,8078.28,389.79,13410.90,1124.22,1287.05,5893.57,22.46,17.33,12.49,0.02,3600.77,511.61,-8.39,0.00,6.44,11.74,15.19,21.42,38.51,201.52,35.19
Solar Industries,4036.45,36525.86,4543.72,241.67,5516.96,616.57,74.52,3114.69,25.38,25.30,13.84,0.55,1547.14,297.80,17.01,0.00,6.64,18.54,17.05,18.72,56.40,109.25,50.25
MRF,86071.00,36494.10,23862.87,33565.63,21747.18,568.06,3335.51,16122.55,7.05,4.85,2.92,0.22,9683.61,-578.03,-2282.67,0.00,16.46,9.23,6.34,-16.14,10.60,1205.05,262.80
I R F C,27.85,36395.79,465197.79,33.32,22464.92,6462.27,9.64,412811.87,5.11,15.84,1.47,8.88,-286843.85,-64412.28,-64418.91,0.00,1.05,99.34,22.17,39.26,,14.03,14074.78
Tata Elxsi,5837.60,36354.49,2305.72,271.70,2806.21,669.97,0.00,1770.22,47.72,37.18,28.26,0.11,1588.19,483.03,411.85,0.00,15.37,31.96,15.66,24.03,90.68,55.34,10.47
Alkem Lab,3039.55,36342.38,13869.23,764.58,10758.59,1098.35,420.29,9743.60,18.65,20.68,13.22,0.20,4006.69,1111.02,783.04,0.00,4.46,13.88,13.07,29.38,15.04,303.96,52.37
Mphasis,1919.45,36147.57,11147.25,370.85,13332.45,1570.09,1393.13,6936.00,27.38,21.24,14.27,0.15,6164.32,1715.73,1596.55,0.00,20.71,17.61,15.66,10.12,30.12,290.75,74.40
Honeywell Auto,40588.00,35879.79,4135.01,3360.74,3108.35,382.31,0.00,2826.91,16.81,12.52,8.53,0.02,1532.61,263.58,252.76,0.00,2.88,14.76,-2.44,-1.87,14.89,52.46,8.71
Shriram Finance,1301.50,35208.14,155374.91,1035.87,20401.85,3813.29,8274.95,20120.72,9.90,11.38,2.00,4.49,-34238.36,-8859.02,-8893.35,0.00,42.21,73.48,7.42,1.85,5.00,135.37,9772.82
Power Fin.Corpn.,131.80,34796.27,811240.05,289.79,75897.23,14138.51,5102.76,17900.29,9.38,21.17,2.40,8.82,-237057.18,1632.47,1512.80,0.00,16.82,89.62,12.12,12.21,5.59,34.77,44708.78
Aditya Birla Cap,143.35,34647.20,155490.83,67.74,24743.90,1924.70,41155.07,-31235.81,8.20,11.36,1.25,4.17,-22884.08,-5069.51,-5246.65,0.00,6.80,24.97,13.59,26.96,14.62,121.91,3479.53
Tata Comm,1209.85,34480.73,20081.36,31.84,17189.18,1775.57,1753.16,9971.71,21.79,282.45,7.21,9.74,13465.55,4203.82,2553.58,0.00,17.02,25.22,0.40,172.54,45.16,2204.54,360.25
Jubilant Food.,511.25,33734.59,5178.21,31.35,4943.33,473.66,928.69,3223.70,21.06,24.96,10.05,1.12,3240.98,930.02,540.88,0.00,28.66,24.17,7.25,10.32,17.59,393.05,176.09
Dalmia BharatLtd,1770.50,33193.30,23544.00,801.84,12387.00,927.21,3636.00,18448.00,7.05,7.47,4.71,0.22,11330.00,1937.00,181.00,0.00,12.37,16.62,5.97,74.95,30.55,1236.00,202.00
NMDC,111.55,32690.91,26308.27,69.07,20671.53,6226.69,886.72,17607.98,37.11,29.06,23.04,0.11,24333.60,7617.32,4584.63,0.00,5.94,38.95,28.66,26.64,4.92,286.85,39.06
H P C L,227.50,32271.97,158202.80,197.93,417268.34,-7661.37,21540.05,84152.94,11.65,18.08,4.97,2.65,58699.97,15810.23,3782.41,0.00,16.74,-2.45,8.30,2.45,-4.65,4000.36,997.32
Gujarat Gas,467.70,32196.01,10069.90,91.23,18960.36,1362.63,53.25,7029.94,30.89,25.67,14.32,0.05,6489.31,1661.74,295.47,0.00,5.03,11.52,28.51,44.46,27.86,384.91,81.68
Biocon,267.05,32062.02,22664.20,80.19,9042.20,649.05,2853.30,18224.20,8.96,8.89,4.37,0.61,5436.10,1176.60,-746.10,0.00,15.79,19.67,14.07,-1.31,-2.55,814.20,67.60
Vedant Fashions,1285.25,31200.06,1816.26,46.75,1221.00,381.37,496.81,1237.55,32.79,27.81,18.01,0.22,1064.87,341.07,351.92,2.84,3.35,49.05,8.30,18.54,,88.03,27.07
Petronet LNG,207.95,31192.50,23180.05,94.63,54007.14,3338.81,332.07,18651.81,29.80,26.75,16.74,0.24,15031.48,3472.09,3399.77,0.00,34.83,9.51,3.98,15.87,-8.60,768.46,317.33
S A I L,74.70,30855.02,130331.69,130.82,106280.77,4751.88,8675.80,85560.72,23.76,25.15,10.50,0.58,67178.04,30986.65,27556.96,0.00,4.31,10.14,15.61,68.10,22.14,4275.02,1697.89
Gujarat Fluoroch,2769.00,30417.47,7911.58,445.88,4872.96,1080.41,1.05,5686.84,20.24,19.63,11.84,0.35,,741.37,92.13,0.00,4.99,33.69,13.15,-15.22,66.82,205.44,78.41
Uno Minda,522.25,29921.35,7669.53,64.56,10028.49,554.57,773.68,4459.64,13.81,12.12,6.27,0.29,2552.11,382.88,-182.12,0.00,9.07,10.92,12.06,6.60,44.43,391.75,62.32
Oberoi Realty,816.90,29702.67,16504.31,303.32,3257.17,1421.58,2525.57,11628.41,11.77,10.46,7.47,0.27,1426.11,1068.73,-137.44,0.00,18.02,45.62,1.42,9.15,16.17,39.78,86.03
Supreme Inds.,2319.30,29461.34,5071.11,307.91,8794.78,865.45,513.06,3419.13,34.62,27.43,20.73,0.01,3319.44,470.43,4.38,0.00,16.32,12.80,11.47,33.87,27.27,229.52,5.15
Persistent Sys,3834.35,29304.02,6210.99,461.18,7056.32,809.01,652.51,3792.54,26.30,21.51,14.60,0.21,2786.01,844.99,464.19,0.00,19.81,17.48,19.27,26.84,78.90,166.01,11.84
APL Apollo Tubes,1038.30,28795.26,4963.49,105.22,14852.87,549.50,108.49,3490.97,34.67,28.17,15.77,0.36,2587.38,651.71,64.83,0.00,22.91,6.02,22.24,55.54,83.33,108.97,44.47
REC Ltd,108.75,28636.31,425097.87,201.80,39123.86,10261.05,2573.45,10303.07,9.11,21.31,2.47,6.39,-148509.53,-3909.68,-3957.73,0.00,23.41,88.57,15.63,20.37,1.82,18.24,22050.96
Linde India,3318.20,28297.61,4039.67,329.38,2452.44,402.27,13.43,2883.21,17.09,12.34,8.32,0.01,1882.24,588.88,453.84,0.00,2.77,22.78,-1.23,108.59,71.28,181.37,3.05
Indraprastha Gas,401.45,28101.53,11640.13,105.55,11369.24,1507.13,1576.96,7531.80,26.48,19.77,13.29,0.01,6841.10,1897.90,560.95,0.00,20.99,18.60,10.18,20.16,-2.33,317.06,24.76
General Insuranc,156.00,27368.64,153384.75,203.20,47223.59,4316.57,105995.78,-45596.92,11.81,6.65,1.44,0.00,45068.16,8341.85,8328.71,0.00,0.46,12.14,3.60,4.38,-11.93,11.84,0.00
M & M Fin. Serv.,220.75,27275.60,94295.62,138.53,11752.43,2381.61,10461.02,1886.96,7.44,6.86,1.34,4.27,-17858.90,18.07,-276.03,0.00,16.93,65.36,3.07,-15.03,3.98,151.99,4417.37
Escorts Kubota,2012.00,26546.45,9639.11,589.45,7793.78,658.52,4476.35,5118.93,14.96,11.01,9.07,0.01,2183.87,32.28,-120.06,6.03,4.73,10.76,4.95,15.30,48.03,132.06,14.97
Gland Pharma,1581.45,26044.94,8617.08,464.50,4071.55,1028.44,8.16,7120.90,24.79,18.51,16.87,0.00,2484.15,791.29,269.57,80.38,6.10,31.02,29.12,37.50,,110.30,5.24
Federal Bank,122.45,25888.40,226241.05,91.58,15392.30,2494.87,39065.19,31647.60,5.03,11.00,0.92,10.45,9957.66,-7773.65,-8061.83,0.00,26.40,63.06,7.32,14.65,12.65,138.90,7959.38
Oracle Fin.Serv.,2986.85,25801.84,8165.07,744.78,5321.60,1806.59,0.00,5932.98,36.03,27.08,22.56,0.01,7834.51,1856.15,1818.59,0.00,7.22,44.18,1.73,10.87,1.27,92.80,12.20
Deepak Nitrite,1888.30,25755.10,4669.18,267.71,7614.26,918.76,425.25,3971.51,44.47,37.38,26.57,0.07,2833.67,823.83,637.67,0.00,8.45,18.24,36.07,82.04,72.68,177.70,36.37
Voltas,777.75,25734.56,9269.50,168.98,8996.53,176.34,3089.99,3434.23,13.02,9.62,5.51,0.07,1606.66,584.23,537.33,0.00,24.37,6.38,3.66,-0.73,6.04,37.26,25.87
